Nutrient,Calories,Fat,Protein,Sugar,Fiber,Sodium
Child 1-3,1000-1400,30-40g,> 13g,< 20g,> 14g,< 2300mg
Female 4-8,1200-1800,25-35g,> 19g,< 15g,> 17g,< 2300mg
Male 4-8,1200-2000,25-35g,> 19g,< 15g,> 20g,< 2300mg
Female 9-13,1400-2200,25-35g,> 34g,< 25g,> 22g,1500-2300mg
Male 9-13,1600-2600,25-35g,> 34g,< 37.5g,> 25g,1500-2300mg
Female 14-18,1800-2400,25-35g,> 46g,< 25g,> 25g,1500-2300mg
Male 14-18,2000-3200,25-35g,> 52g,< 37.5g,> 31g,1500-2300mg
Female 19-30,2000-2400,25-35g,> 46g,< 25g,> 28g,1500-2300mg
Male 19-30,2600-3000,25-35g,> 56g,< 37.5g,> 34g,1500-2300mg
Female 31-50,1800-2200,25-35g,> 46g,< 25g,> 25g,1500-2300mg
Male 31-50,2400-2800,25-35g,> 56g,< 37.5g,> 31g,1500-2300mg
Female 51+,1600-2200,25-35g,> 46g,< 25g,> 22g,< 1500mg
Male 51+,2200-2800,25-35g,> 56g,< 37.5g,> 28g,< 1500mg
