Num,Desc,GramsPerServ,GramDesc,CalsPerServ,ProtPerServ,FiberPerServ,SugarPerServ,SodiumPerServ,SatFatPerServ,PricePerServ,FoodType,Grains,Bev,Fruits,Vegs,MeatFish,Dairy,FatsOils,MealsSoups,LegumesNuts
43404,"Cranberry-apple juice drink, low cal, w/ vitamin C",30,1 fl oz,5.7,0.03,0.03,1.38,1.5,0,0.03,Beverages,0,1,0,0,0,0,0,0,0
14218,"Coffee, instant, decaffeinated, powder",1.8,"1 tsp, rounded",3.51,0.116,0,0,0.23,0.00101,0.03,Beverages,0,1,0,0,0,0,0,0,0
14209,"Coffee, brewed from grounds, prepared w/ tap water",178,6 fl oz,1.78,0.2136,0,0,3.56,0.00356,0.04,Beverages,0,1,0,0,0,0,0,0,0
42270,Orange juice drink,248,1 cup (8 fl oz),134.352,0.4976,0.4976,23.28768,4.976,0,0.37,Beverages,0,1,0,0,0,0,0,0,0
14214,"Coffee, instant, reg, powder",2,1 packet,7.06,0.244,0,0,0.74,0.00394,0.05,Beverages,0,1,0,0,0,0,0,0,0
14202,"Coffee, brewed, espresso, rest-prep, decaffeinated",30,1 fluid ounce,2.7,0.03,0,0,4.2,0.0276,0.09,Beverages,0,1,0,0,0,0,0,0,0
14210,"Coffee, brewed, espresso, rest-prep",30,1 fluid ounce,2.7,0.036,0,0,4.2,0.0276,0.09,Beverages,0,1,0,0,0,0,0,0,0
14371,"Tea, instant, sweetened w/ sugar, powder",259,1 cup (8 fl oz),90.65,0.0259,0.259,21.5747,5.18,0.02072,0.09,Beverages,0,1,0,0,0,0,0,0,0
14114,"Beef broth & tomato juice, canned",168,1 can (5.5 oz),62.16,1.008,0.168,0,220.08,0.05376,0.17,Beverages,0,1,0,0,0,0,0,0,0
14645,Fruit flavored drink,238,1 cup (8 fl oz),152.32,0,0,37.723,85.68,0,0.2,Beverages,0,1,0,0,0,0,0,0,0
14267,"Fruit punch drink, w/ added nutrition, canned",248,1 cup (8 fl oz),116.56,0,0.496,27.9992,94.24,0,0.2,Beverages,0,1,0,0,0,0,0,0,0
14436,Orange breakfast drink,253,1 cup (8 fl oz),134.09,0,0.253,20.2906,136.62,0,0.22,Beverages,0,1,0,0,0,0,0,0,0
14303,"Limeade, frozen concentrate",247,"1 serving, 1 cup (8 fl oz)",128.44,0,0,32.7769,7.41,0,0.23,Beverages,0,1,0,0,0,0,0,0,0
14192,"Cocoa mix, powder",28,1 serving (3 heaping tsp or 1 envelope),111.44,1.8676,1.036,18.354,141.12,0.66556,0.32,Beverages,0,1,0,0,0,0,0,0,0
14625,Energy drink,240,1 serving,110.4,0.6,0,28.992,64.8,0,0.37,Beverages,0,1,0,0,0,0,0,0,0
14238,"Cranberry-apple juice drink, bottled",245,1 cup (8 fl oz),154.35,0,0,35.525,4.9,0.03185,0.39,Beverages,0,1,0,0,0,0,0,0,0
14262,"Citrus fruit juice drink, frozen concentrate",423,1 can (12 fl oz),685.26,5.076,0.846,121.1049,12.69,0.02961,0.39,Beverages,0,1,0,0,0,0,0,0,0
14282,"Grape juice drink, canned",250,1 cup (8 fl oz),142.5,0,0.25,35.275,22.5,0,0.39,Beverages,0,1,0,0,0,0,0,0,0
14334,"Pineapple & grapefruit juice drink, canned",250,1 cup (8 fl oz),117.5,0.5,0.25,28.8,35,0.015,0.42,Beverages,0,1,0,0,0,0,0,0,0
14182,"Chocolate syrup, prepared w/ whole milk",282,1 cup (8 fl oz),253.8,8.6574,0.846,31.8942,132.54,4.74042,0.55,Beverages,0,1,0,0,0,0,0,0,0
14181,Chocolate syrup,300,1 cup,837,6.3,7.8,148.95,216,1.557,0.69,Beverages,0,1,0,0,0,0,0,0,0
14341,"Pineapple & orange juice drink, canned",250,1 cup (8 fl oz),125,3.25,0.25,28.975,7.5,0,0.93,Beverages,0,1,0,0,0,0,0,0,0
14426,"Orange drink, breakfast type, w/ juice & pulp, frozen concentrate",436,1 can (12 fl oz),667.08,1.744,0.436,165.898,113.36,0.00872,1.09,Beverages,0,1,0,0,0,0,0,0,0
14542,"Lemonade, frozen concentrate, pink",437,1 can (12 fl oz),839.04,0.9614,1.311,203.0302,17.48,0.11362,1.41,Beverages,0,1,0,0,0,0,0,0,0
42136,"Cream substitute, powder, light",3,1 packet,12.93,0.057,0,2.202,6.87,0.114,0.02,Dairy,0,0,0,0,0,1,0,0,0
1211,"Milk, whole, 3.25% milkfat",244,1 cup (8 fl oz),148.84,7.686,0,12.322,104.92,4.5506,0.46,Dairy,0,0,0,0,0,1,0,0,0
1049,"Cream, fluid, half and half",15,1 tbsp,19.5,0.444,0,0.645,6.15,1.0737,0.04,Dairy,0,0,0,0,0,1,0,0,0
1205,"Cream substitute, flav, liquid",15,1 tbsp,37.65,0.1035,0.165,4.956,10.05,0.39525,0.05,Dairy,0,0,0,0,0,1,0,0,0
42290,"Milk, fluid, nonfat (fat free or skim)",248,1 cup (8 fl oz),86.52,8.4048,0,11.9892,128.544,0.289224,0.44,Dairy,0,0,0,0,0,1,0,0,0
1206,"Cream substitute, flav, powder",12,4 tsp,57.84,0.0816,0.144,6.9612,14.76,2.33352,0.06,Dairy,0,0,0,0,0,1,0,0,0
1050,"Cream, fluid, light (coffee cream or table cream)",15,1 tbsp,29.25,0.405,0,0.549,6,1.803,0.06,Dairy,0,0,0,0,0,1,0,0,0
1103,"Chocolate milk, reduced fat",248,1 cup (8 fl oz),189.696,7.46304,1.7472,23.8368,164.736,2.937792,0.48,Dairy,0,0,0,0,0,1,0,0,0
1057,Eggnog,31.8,1 fl oz,27.984,1.4469,0,2.5599,17.172,0.823938,0.07,Dairy,0,0,0,0,0,1,0,0,0
1032,"Cheese, parmesan, grated",5,1 tbsp,21,1.421,0,0.0035,90.2,0.76855,0.08,Dairy,0,0,0,0,0,1,0,0,0
43543,"Milk, imitation, non-soy",30.5,1 fl oz,14.03,0.488,0,1.6165,16.775,0.07747,0.09,Dairy,0,0,0,0,0,1,0,0,0
1001,"Butter, with salt",14.2,1 tbsp,101.814,0.1207,0,0.00852,91.306,7.294256,0.1,Dairy,0,0,0,0,0,1,0,0,0
1002,"Butter, whipped, with salt",9.4,1 tbsp,67.398,0.0799,0,0.00564,61.946,4.745966,0.11,Dairy,0,0,0,0,0,1,0,0,0
1145,"Butter, without salt",14.2,1 tbsp,101.814,0.1207,0,0.00852,1.562,7.294256,0.11,Dairy,0,0,0,0,0,1,0,0,0
1037,"Cheese, ricotta, part skim milk",28.35,1 oz,39.123,3.229065,0,0.087885,28.0665,1.3968045,0.13,Dairy,0,0,0,0,0,1,0,0,0
1131,"Egg, whole, cooked, poached",50,1 large,71.5,6.255,0,0.185,148.5,1.5565,0.14,Dairy,0,0,0,0,0,1,0,0,0
1128,"Egg, whole, cooked, fried",46,1 large,90.16,6.2606,0,0.184,95.22,1.98858,0.15,Dairy,0,0,0,0,0,1,0,0,0
42205,"Cheese, processed, cheddar or american, fat-free",21,1 slice (3/4 oz),31.08,4.725,0,2.0895,320.88,0.10584,0.16,Dairy,0,0,0,0,0,1,0,0,0
1123,"Egg, whole, raw, fresh",56,1 extra large,80.08,7.0336,0,0.2072,79.52,1.75056,0.16,Dairy,0,0,0,0,0,1,0,0,0
1153,"Milk, canned, evap, w/ vitamin A",126,.5 cup,168.84,8.5806,0,24.4104,133.56,5.78466,0.16,Dairy,0,0,0,0,0,1,0,0,0
1223,"Protein supp, milk based, muscle milk, powder",11,1 tbsp,45.21,5.0281,0.781,0.6281,36.19,0.17083,0.16,Dairy,0,0,0,0,0,1,0,0,0
1042,"Cheese, processed, american",28,1 slice (1 oz),102.48,5.0764,0,0.6328,467.88,5.05596,0.21,Dairy,0,0,0,0,0,1,0,0,0
1033,"Cheese, parmesan, hard",10.3,1 cubic inch,40.376,3.68225,0,0.0824,141.728,1.69023,0.21,Dairy,0,0,0,0,0,1,0,0,0
1174,"Milk, reduced fat, fluid, 2% milkfat",246,1 cup (8 fl oz),123,8.12,0,12.45,116,3.092,0.22,Dairy,0,0,0,0,0,1,0,0,0
