Food,Grams,Serving,Calories,Protein,Fiber,Sugar,Sodium,Sat.Fat, Price 
"1% milk, fluid",244.0,1 cup (8 fl oz),102.0,8.2,0.0,12.7,107.0,1.5, $0.23 
"14 in. pizza, cheese topping, thick crust",115.0,1 slice,311.7,12.4,2.5,3.8,686.6,4.9, $2.53 
"14 in. pizza, cheese topping, thin crust",76.0,1 slice,230.0,9.8,1.9,2.7,564.0,4.7, $0.74 
"14 in. pizza, meat & veg topping, reg crust",136.0,1 slice,332.0,15.0,3.0,5.1,801.0,6.0, $1.32 
"14 in. pizza, pepperoni topping, thick crust",118.0,1 slice,339.0,13.6,2.6,3.5,807.0,5.7, $1.15 
"14 in. pizza, pepperoni topping, thin crust",79.0,1 slice,261.0,11.1,1.8,2.5,691.0,5.6, $0.77 
"Alfalfa seeds, sprouted, raw",33.0,1 cup,7.6,1.3,0.6,0.1,2.0,0.0, $0.11 
"Almond butter, plain",31.3,2 tbsp,191.9,6.6,3.2,1.4,2.2,1.3, $0.59 
Almonds,92.0,"1 cup, sliced",532.7,19.5,11.5,4.0,0.9,3.5, $1.17 
"Almonds, dry roasted",28.4,1 oz (22 whole kernels),169.5,5.9,3.1,1.4,0.9,1.2, $0.36 
"Almonds, dry roasted, w/ salt",28.4,1 oz (22 whole kernels),169.5,5.9,3.1,1.4,141.2,1.2, $0.44 
"Almonds, honey roasted, unblanched",28.4,1 oz,168.4,5.2,3.9,5.0,36.9,1.3, $0.48 
"Anchovy, european, canned in oil, drained solid",4.0,1 anchovy,8.4,1.2,0.0,0.0,146.7,0.1, $0.14 
"Animal fat, bacon grease",4.0,1 tsp,35.9,0.0,0.0,0.0,6.0,1.6, $0.01 
Apple crisp,282.0,1 cup,454.0,4.9,3.9,55.5,990.0,1.9, $0.86 
"Apple juice, canned or bottled, unsweetened, w/ added vitamin c",248.0,1 cup (8 fl oz),114.1,0.2,0.5,23.9,9.9,0.1, $0.26 
Apple pie,125.0,1 piece (1/8 of 9 in. diameter),296.3,2.4,2.0,18.0,332.5,4.7, $0.27 
"Apples, canned, sweetened, sliced, drained, heated",204.0,"1 cup, slices",136.7,0.4,4.1,30.3,6.1,0.1, $0.40 
"Apples, canned, sweetened, sliced, drained, heated",204.0,"1 cup, slices",136.7,0.4,4.1,30.3,6.1,0.1, $0.40 
"Apples, canned, sweetened, sliced, drained, heated",204.0,"1 cup, slices",136.7,0.4,4.1,30.3,6.1,0.1, $0.96 
"Apples, canned, sweetened, sliced, drained, heated",204.0,"1 cup, slices",136.7,0.4,4.1,30.3,6.1,0.1, $0.96 
"Apples, dried, sulfured, uncooked",6.4,1 ring,15.6,0.1,0.6,3.7,5.6,0.0, $0.12 
